StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q6,Q7,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,QTMC_First Click,QTMC_Last Click,QTMC_Page Submit,QTMC_Click Count,QTME_First Click,QTME_Last Click,QTME_Page Submit,QTME_Click Count,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_11,Q32_12,Q32_13,Q32_14,Q32_15,Q32_16,Q33,Q34,Q35,Q36,Q37,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,KeyResponses,PlayerScore
3/10/25 15:30,3/10/25 15:50,IP Address,98.154.71.189,100,1244,True,3/10/25 15:50,R_7N7YbJtFgWiwoV3,,,,,34.0068,-118.2562,anonymous,EN,≤ 2 hours ago,8+ hours,Somewhat uncomfortable,3-5 days a week,Sometimes,Almost Never,Fairly Often,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Somewhat typical of me,0,0,401.822,0,,,,,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,41-49 years old,Man,Hispanic/Latino,Low income/Lower class,Somewhat Secure,106,21,27,58,19,19,7,13,i,300
3/10/25 15:45,3/10/25 15:57,IP Address,104.28.206.59,100,690,True,3/10/25 15:57,R_6pnfpffOqBMLUZ8,,,,,32.7173,-117.157,anonymous,EN,6-8 hours ago,5-7 hours,Somewhat uncomfortable,1-2 days a week,Almost Never,Almost Never,Sometimes,Very Often,Fairly Often,Almost Never,Fairly Often,Very Often,Sometimes,Almost Never,Rarely typical of me,Rarely typical of me,Often typical of me,Not at all typical,Somewhat typical of me,Rarely typical of me,Not at all typical,Not at all typical,Rarely typical of me,Somewhat typical of me,11.678,11.678,187.611,1,,,,,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds completely,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,18-21 years old,Woman,East Asian,High income/Upper class,Secure,65,10,21,34,4,10,13,7,i,50
3/10/25 15:47,3/10/25 16:04,IP Address,128.54.169.111,100,1029,True,3/10/25 16:04,R_56lHxOkMjX1YCe5,,,,,32.8509,-117.2722,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat comfortable,3-5 days a week,Fairly Often,Sometimes,Very Often,Sometimes,Sometimes,Fairly Often,Sometimes,Almost Never,Sometimes,Very Often,Rarely typical of me,Often typical of me,Not at all typical,Somewhat typical of me,Often typical of me,Often typical of me,Rarely typical of me,Somewhat typical of me,Very typical of me,Very typical of me,,,,,0,0,626.865,0,Corresponds completely,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds completely,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds not at all,18-21 years old,Woman,East Asian,Comfortable income/Middle class,Somewhat Secure,127,27,39,61,22,19,13,7,,400
3/10/25 15:59,3/10/25 16:14,IP Address,128.54.14.58,100,870,True,3/10/25 16:14,R_3fCLh1hUyGKWIyc,,,,,32.8595,-117.2124,anonymous,EN,3-5 hours ago,8+ hours,Somewhat comfortable,1-2 days a week,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Fairly Often,Sometimes,Almost Never,Sometimes,Somewhat typical of me,Often typical of me,Not at all typical,Somewhat typical of me,Somewhat typical of me,Often typical of me,Often typical of me,Rarely typical of me,Often typical of me,Very typical of me,,,,,576.204,576.749,580.299,2,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,18-21 years old,Woman,Hispanic/Latino,Low income/Lower class,Somewhat Secure,95,18,37,40,13,4,16,7,"i,u",0
3/10/25 16:24,3/10/25 17:01,IP Address,128.54.130.100,100,2229,True,3/10/25 17:01,R_7o7KoaqyVTvlu4w,,,,,32.8509,-117.2722,anonymous,EN,≤ 2 hours ago,8+ hours,Very comfortable,6-7 days a week,Almost Never,Fairly Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Almost Never,Almost Never,Often typical of me,Somewhat typical of me,Often typical of me,Rarely typical of me,Rarely typical of me,Rarely typical of me,Not at all typical,Not at all typical,Rarely typical of me,Rarely typical of me,,,,,0,0,617.467,0,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds completely,Corresponds completely,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,18-21 years old,Woman,White or European American,High income/Upper class,Secure,104,15,19,70,19,10,22,19,,600
3/10/25 18:32,3/10/25 18:37,IP Address,128.54.30.245,100,321,True,3/10/25 18:37,R_7pcp8INKUqSbhmN,,,,,32.8509,-117.2722,anonymous,EN,3-5 hours ago,5-7 hours,Very comfortable,1-2 days a week,Almost Never,Sometimes,Sometimes,Very Often,Fairly Often,Almost Never,Fairly Often,Very Often,Almost Never,Never,Somewhat typical of me,Not at all typical,Very typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Rarely typical of me,Not at all typical,Rarely typical of me,Rarely typical of me,,,,,0,0,103.58,0,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,18-21 years old,Woman,East Asian,Comfortable income/Middle class,Somewhat Secure,89,9,19,61,16,4,25,16,i,100
3/10/25 18:35,3/10/25 18:57,IP Address,107.200.89.22,100,1296,True,3/10/25 18:57,R_7CCfTb6bzrVKY8d,,,,,33.0287,-117.0846,anonymous,EN,3-5 hours ago,8+ hours,Somewhat comfortable,3-5 days a week,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat typical of me,Rarely typical of me,Often typical of me,Somewhat typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Often typical of me,Somewhat typical of me,,,,,0,0,626.346,0,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds completely,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,18-21 years old,Man,White or European American,Comfortable income/Middle class,Somewhat Secure,121,19,26,76,28,16,16,16,,800
3/10/25 21:28,3/10/25 21:40,IP Address,107.132.35.57,100,696,True,3/10/25 21:40,R_50VnLpmIxsUHmIC,,,,,32.8595,-117.2124,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat comfortable,1-2 days a week,Fairly Often,Never,Sometimes,Fairly Often,Very Often,Never,Fairly Often,Fairly Often,Fairly Often,Never,Not at all typical,Somewhat typical of me,Somewhat typical of me,Somewhat typical of me,Often typical of me,Very typical of me,Very typical of me,Often typical of me,Very typical of me,Rarely typical of me,98.227,99.663,423.33,2,,,,,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds completely,Corresponds completely,Corresponds not at all,Corresponds not at all,Corresponds completely,Corresponds completely,Corresponds not at all,Corresponds completely,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds not at all,18-21 years old,Man,White or European American,Comfortable income/Middle class,Secure,105,11,39,55,22,16,4,13,,550
3/10/25 21:53,3/10/25 21:58,IP Address,70.95.28.70,100,327,True,3/10/25 21:58,R_6OIfBrjEgshcD9c,,,,,32.9164,-117.1393,anonymous,EN,≤ 2 hours ago,8+ hours,Somewhat comfortable,6-7 days a week,Almost Never,Almost Never,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Fairly Often,Almost Never,Sometimes,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,,,,,1.222,2.669,3.38,3,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,22-25 years old,Man,White or European American,Comfortable income/Middle class,Secure,106,15,27,64,16,16,16,16,,0
3/10/25 22:06,3/10/25 22:37,IP Address,70.181.249.158,100,1852,True,3/10/25 22:37,R_78UvN2rnMdAtGMr,,,,,33.1366,-117.0611,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat comfortable,3-5 days a week,Very Often,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Almost Never,Sometimes,Very Often,Sometimes,Somewhat typical of me,Rarely typical of me,Not at all typical,Rarely typical of me,Often typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Often typical of me,Often typical of me,0,0,1503.299,0,,,,,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds completely,Somewhat corresponds,Corresponds completely,Corresponds not at all,Corresponds completely,Corresponds not at all,Corresponds not at all,Corresponds not at all,Somewhat corresponds,22-25 years old,Man,White or European American,Comfortable income/Middle class,Secure,111,25,31,55,13,10,7,25,i,0
3/10/25 22:05,3/10/25 23:00,IP Address,24.43.123.82,100,3314,True,3/10/25 23:01,R_6CcTVDfO03kJwxo,,,,,32.8425,-117.2484,anonymous,EN,≤ 2 hours ago,8+ hours,Somewhat comfortable,3-5 days a week,Almost Never,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Almost Never,Almost Never,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,,,,,0,0,1406.472,0,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds completely,Somewhat corresponds,22-25 years old,Man,"White or European American,Middle Eastern",Comfortable income/Middle class,Secure,95,12,25,58,13,10,19,16,,0
3/11/25 14:36,3/11/25 14:40,IP Address,198.202.68.238,100,224,True,3/11/25 14:40,R_1FKE8LQ02n7qDLH,,,,,32.8595,-117.2124,anonymous,EN,≤ 2 hours ago,5-7 hours,Somewhat comfortable,1-2 days a week,Sometimes,Sometimes,Sometimes,Fairly Often,Almost Never,Sometimes,Sometimes,Fairly Often,Almost Never,Almost Never,Rarely typical of me,Somewhat typical of me,Rarely typical of me,Often typical of me,Somewhat typical of me,Somewhat typical of me,Rarely typical of me,Often typical of me,Often typical of me,Somewhat typical of me,1.592,1.592,44.341,1,,,,,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Corresponds completely,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds not at all,Somewhat corresponds,18-21 years old,Woman,"East Asian,South Asian",Low income/Lower class,Somewhat Secure,100,17,34,49,13,10,13,13,i,50
3/11/25 17:34,3/11/25 17:41,IP Address,128.54.184.72,100,462,True,3/11/25 17:41,R_7eJcMkQMOPjvqxD,,,,,33.972,-118.242,anonymous,EN,≥ 8 hours ago,8+ hours,Somewhat comfortable,3-5 days a week,Fairly Often,Fairly Often,Almost Never,Fairly Often,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Sometimes,Rarely typical of me,Very typical of me,Somewhat typical of me,Rarely typical of me,Somewhat typical of me,Very typical of me,Somewhat typical of me,Often typical of me,Somewhat typical of me,Rarely typical of me,0,0,130.345,0,,,,,Corresponds completely,Corresponds not at all,Corresponds completely,Corresponds completely,Corresponds completely,Corresponds not at all,Corresponds completely,Corresponds not at all,Corresponds completely,Somewhat corresponds,Corresponds not at all,Corresponds not at all,Somewhat corresponds,Corresponds not at all,Corresponds completely,Somewhat corresponds,22-25 years old,Man,Other,Comfortable income/Middle class,Secure,123,22,34,67,25,7,22,13,i,200
3/11/25 17:43,3/11/25 17:48,IP Address,68.101.201.249,100,273,True,3/11/25 17:48,R_6gcsbg0bdAfXQO4,,,,,32.7097,-117.1228,anonymous,EN,≤ 2 hours ago,5-7 hours,Very uncomfortable,6-7 days a week,Never,Never,Sometimes,Very Often,Sometimes,Never,Very Often,Almost Never,Never,Never,Very typical of me,Not at all typical,Very typical of me,Somewhat typical of me,Rarely typical of me,Often typical of me,Rarely typical of me,Rarely typical of me,Somewhat typical of me,Rarely typical of me,,,,,0,0,89.7,0,Corresponds not at all,Corresponds not at all,Corresponds completely,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds completely,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds completely,Corresponds not at all,Corresponds not at all,Corresponds not at all,Corresponds completely,Corresponds not at all,18-21 years old,Man,East Asian,Comfortable income/Middle class,Somewhat Secure,68,7,21,40,4,4,28,4,i,0
3/11/25 17:44,3/11/25 17:57,IP Address,68.3.91.247,100,792,True,3/11/25 17:57,R_1MxO9aaxEQJKXTl,,,,,33.5768,-112.2348,anonymous,EN,6-8 hours ago,5-7 hours,Somewhat comfortable,6-7 days a week,Almost Never,Fairly Often,Sometimes,Very Often,Fairly Often,Never,Fairly Often,Sometimes,Almost Never,Never,Somewhat typical of me,Rarely typical of me,Often typical of me,Somewhat typical of me,Rarely typical of me,Somewhat typical of me,Somewhat typical of me,Rarely typical of me,Often typical of me,Rarely typical of me,,,,,420.609,420.609,422.472,1,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,Somewhat corresponds,Somewhat corresponds,Corresponds completely,Corresponds not at all,22-25 years old,Man,White or European American,High income/Upper class,Secure,98,11,26,61,16,16,22,7,i,400
